Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-27 13:55:24.378,0.03,-0.68,-0.27,-66.35,-58.04,-2.01
2026-07-27 13:55:24.391,-0.02,-0.56,-0.18,-72.39,-61.52,22.71
2026-07-27 13:55:24.419,-0.02,-0.56,-0.18,-72.39,-61.52,22.71
2026-07-27 13:55:24.446,-0.18,-0.48,-0.08,-69.58,-65.06,46.63
2026-07-27 13:55:24.460,-0.18,-0.48,-0.08,-69.58,-65.06,46.63
2026-07-27 13:55:24.489,-0.34,-0.44,0.06,-58.47,-74.95,57.13
2026-07-27 13:55:24.529,-0.41,-0.44,0.15,-14.95,-69.03,58.65
2026-07-27 13:55:24.529,-0.41,-0.44,0.15,-14.95,-69.03,58.65
2026-07-27 13:55:24.557,-0.39,-0.42,0.21,44.86,-45.59,66.65
2026-07-27 13:55:24.584,-0.34,-0.39,0.45,62.01,-35.1,78.37
2026-07-27 13:55:24.625,-0.34,-0.39,0.45,62.01,-35.1,78.37
2026-07-27 13:55:24.639,-0.3,-0.37,0.9,23.44,-44.68,91.37
2026-07-27 13:55:24.653,-0.3,-0.37,0.9,23.44,-44.68,91.37
2026-07-27 13:55:24.680,-0.32,-0.35,1.09,-27.1,-34.42,126.83
2026-07-27 13:55:24.710,-0.44,-0.17,0.5,-60.73,16.3,205.99
2026-07-27 13:55:24.736,-0.44,-0.17,0.5,-60.73,16.3,205.99
2026-07-27 13:55:24.763,-0.61,0.37,-0.65,-77.64,62.07,313.17
2026-07-27 13:55:24.807,-0.42,1.18,-1.65,-99.61,27.34,341.06
2026-07-27 13:55:24.807,-0.42,1.18,-1.65,-99.61,27.34,341.06
2026-07-27 13:55:24.847,0.89,1.7,-1.83,-116.15,-121.15,139.1
2026-07-27 13:55:24.847,0.89,1.7,-1.83,-116.15,-121.15,139.1
2026-07-27 13:55:24.872,2.93,1.54,-0.9,-34.48,-336.55,-240.48
2026-07-27 13:55:24.941,4.0,1.11,1.22,240.23,-585.82,-524.05
2026-07-27 13:55:24.942,4.0,1.11,1.22,240.23,-585.82,-524.05
2026-07-27 13:55:24.955,3.95,0.73,3.5,581.48,-870.85,-533.2
2026-07-27 13:55:24.983,1.88,0.13,4.0,596.68,-915.34,-289.06
2026-07-27 13:55:25.003,1.88,0.13,4.0,596.68,-915.34,-289.06
