Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-27 13:51:01.588,0.11,-0.02,0.98,0.12,-15.38,0.67
2026-07-27 13:51:01.616,0.11,-0.03,0.98,0.55,-8.54,3.42
2026-07-27 13:51:01.645,0.11,-0.03,0.98,0.55,-8.54,3.42
2026-07-27 13:51:01.670,0.12,-0.02,0.98,0.24,-2.99,-0.79
2026-07-27 13:51:01.684,0.12,-0.02,0.98,0.24,-2.99,-0.79
2026-07-27 13:51:01.712,0.12,-0.02,0.99,0.0,-0.79,-2.5
2026-07-27 13:51:01.741,0.12,-0.02,0.99,0.31,-2.99,1.16
2026-07-27 13:51:01.756,0.12,-0.02,0.99,0.31,-2.99,1.16
2026-07-27 13:51:01.780,0.11,-0.03,0.98,0.67,-4.76,5.98
2026-07-27 13:51:01.794,0.11,-0.03,0.98,0.67,-4.76,5.98
2026-07-27 13:51:01.822,0.11,-0.02,0.99,0.85,-2.87,7.51
2026-07-27 13:51:01.850,0.12,-0.02,0.99,0.85,-1.1,6.77
2026-07-27 13:51:01.876,0.12,-0.02,0.99,0.85,-1.1,6.77
2026-07-27 13:51:01.905,0.12,-0.02,0.99,0.79,-0.31,5.55
2026-07-27 13:51:01.918,0.12,-0.02,0.99,0.79,-0.31,5.55
2026-07-27 13:51:01.945,0.13,-0.02,0.99,0.61,0.37,3.54
2026-07-27 13:51:01.973,0.12,-0.02,0.99,0.43,0.12,1.95
2026-07-27 13:51:01.987,0.12,-0.02,0.99,0.43,0.12,1.95
2026-07-27 13:51:02.015,0.12,-0.02,0.99,0.37,-0.55,1.77
2026-07-27 13:51:02.042,0.12,-0.02,0.99,0.37,-0.55,1.77
2026-07-27 13:51:02.069,0.12,-0.02,0.99,0.37,-0.98,1.89
2026-07-27 13:51:02.083,0.12,-0.02,0.99,0.37,-0.98,1.89
2026-07-27 13:51:02.108,0.12,-0.02,0.99,0.37,-0.98,1.89
2026-07-27 13:51:02.124,0.12,-0.02,0.99,0.37,-0.98,1.89
2026-07-27 13:51:02.153,0.13,-0.02,0.99,0.49,-1.89,2.62
2026-07-27 13:51:02.166,0.13,-0.02,0.98,0.61,-1.65,3.78
2026-07-27 13:51:02.194,0.13,-0.02,0.98,0.61,-1.65,3.78
2026-07-27 13:51:02.220,0.13,-0.02,0.98,0.55,0.0,3.48
2026-07-27 13:51:02.234,0.13,-0.02,0.98,0.55,0.0,3.48
2026-07-27 13:51:02.262,0.13,-0.02,0.99,0.24,0.98,1.22
2026-07-27 13:51:02.298,0.13,-0.02,0.99,0.06,0.24,-0.31
2026-07-27 13:51:02.303,0.13,-0.02,0.99,0.06,0.24,-0.31
2026-07-27 13:51:02.331,0.13,-0.03,0.99,0.06,-4.76,-0.85
2026-07-27 13:51:02.372,0.13,-0.03,0.99,0.06,-4.76,-0.85
2026-07-27 13:51:02.373,0.14,-0.03,0.98,0.06,-11.29,-1.34
2026-07-27 13:51:02.399,0.14,-0.02,0.97,-0.06,-7.08,-2.26
2026-07-27 13:51:02.427,0.14,-0.02,0.97,-0.06,-7.08,-2.26
2026-07-27 13:51:02.481,0.14,-0.02,0.98,-0.37,4.64,-3.6
2026-07-27 13:51:02.482,0.14,-0.02,0.98,-0.37,4.64,-3.6
2026-07-27 13:51:02.495,0.13,-0.02,0.99,-0.43,9.64,-3.6
2026-07-27 13:51:02.523,0.13,-0.02,0.99,-0.43,9.64,-3.6
2026-07-27 13:51:02.537,0.13,-0.02,0.99,-0.12,6.35,-1.89
2026-07-27 13:51:02.578,0.13,-0.02,0.99,0.06,2.14,-0.73
2026-07-27 13:51:02.578,0.13,-0.02,0.99,0.06,2.14,-0.73
2026-07-27 13:51:02.609,0.13,-0.02,0.98,0.06,1.22,-0.92
2026-07-27 13:51:02.651,0.12,0.0,0.97,0.06,4.94,-0.98
2026-07-27 13:51:02.661,0.12,0.0,0.97,0.06,4.94,-0.98
2026-07-27 13:51:02.701,0.1,-0.0,0.96,0.31,18.8,0.31
2026-07-27 13:51:02.702,0.1,-0.0,0.96,0.31,18.8,0.31
2026-07-27 13:51:02.730,0.05,-0.03,0.99,-0.12,44.86,-6.53
2026-07-27 13:51:02.757,0.05,-0.03,0.99,-0.12,44.86,-6.53
2026-07-27 13:51:02.781,-0.01,-0.01,1.05,-5.31,63.11,-30.88
2026-07-27 13:51:02.805,0.05,-0.01,1.08,-38.45,55.3,-62.13
2026-07-27 13:51:02.920,0.05,-0.01,1.08,-38.45,55.3,-62.13
2026-07-27 13:51:02.921,0.17,-0.13,1.07,-91.8,49.44,-66.47
2026-07-27 13:51:02.921,0.17,-0.13,1.07,-104.43,58.11,-12.76
2026-07-27 13:51:02.921,0.06,-0.18,1.12,-104.43,58.11,-12.76
2026-07-27 13:51:02.921,-0.17,-0.11,1.11,-55.73,75.38,63.78
2026-07-27 13:51:02.961,-0.17,-0.11,1.11,-55.73,75.38,63.78
2026-07-27 13:51:02.962,-0.3,-0.05,1.04,-7.93,88.44,92.65
2026-07-27 13:51:03.004,-0.3,-0.05,1.04,-7.93,88.44,92.65
2026-07-27 13:51:03.004,-0.34,-0.08,1.06,-10.93,53.16,65.25
2026-07-27 13:51:03.092,-0.28,-0.19,1.03,-37.6,-31.56,6.1
2026-07-27 13:51:03.092,-0.28,-0.19,1.03,-37.6,-31.56,6.1
2026-07-27 13:51:03.093,-0.15,-0.2,0.89,-43.95,-93.38,-64.45
2026-07-27 13:51:03.136,-0.15,-0.2,0.89,-43.95,-93.38,-64.45
2026-07-27 13:51:03.137,-0.11,-0.1,0.83,-28.63,-63.23,-102.36
2026-07-27 13:51:03.271,-0.18,-0.1,0.91,-16.17,38.39,-39.25
2026-07-27 13:51:03.271,-0.18,-0.1,0.91,-16.17,38.39,-39.25
