Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-27 13:53:01.420,-0.12,0.14,0.86,193.73,-188.17,93.08
2026-07-27 13:53:01.447,0.09,0.25,0.82,160.28,-145.26,78.86
2026-07-27 13:53:01.461,0.09,0.25,0.82,77.39,-80.87,42.54
2026-07-27 13:53:01.491,0.18,0.27,0.9,77.39,-80.87,42.54
2026-07-27 13:53:01.516,0.19,0.25,0.97,3.66,-32.65,12.63
2026-07-27 13:53:01.530,0.19,0.25,0.97,3.66,-32.65,12.63
2026-07-27 13:53:01.557,0.15,0.25,0.96,-36.62,-23.19,1.53
2026-07-27 13:53:01.595,0.1,0.22,0.91,-57.31,-19.71,2.87
2026-07-27 13:53:01.613,0.1,0.22,0.91,-57.31,-19.71,2.87
2026-07-27 13:53:01.640,0.08,0.17,0.89,-65.61,1.04,5.25
2026-07-27 13:53:01.653,0.08,0.17,0.89,-65.61,1.04,5.25
2026-07-27 13:53:01.680,0.12,0.15,0.89,-47.55,17.58,7.69
2026-07-27 13:53:01.709,0.16,0.15,0.91,-9.83,12.88,28.87
2026-07-27 13:53:01.721,0.16,0.15,0.91,-9.83,12.88,28.87
2026-07-27 13:53:01.749,0.2,0.13,0.93,24.23,-15.08,65.37
2026-07-27 13:53:01.782,0.2,0.13,0.93,24.23,-15.08,65.37
2026-07-27 13:53:01.804,0.27,0.13,1.0,46.63,-51.09,83.62
2026-07-27 13:53:01.832,0.32,0.15,1.08,46.45,-61.16,85.45
2026-07-27 13:53:01.846,0.32,0.15,1.08,46.45,-61.16,85.45
2026-07-27 13:53:01.874,0.33,0.13,1.08,47.79,-41.5,114.87
2026-07-27 13:53:01.902,0.33,0.13,1.08,47.79,-41.5,114.87
2026-07-27 13:53:01.915,0.3,0.08,1.03,52.25,3.23,145.57
2026-07-27 13:53:01.942,0.25,0.06,1.09,18.13,72.88,118.77
2026-07-27 13:53:01.971,0.25,0.06,1.09,18.13,72.88,118.77
2026-07-27 13:53:01.997,0.16,0.1,1.33,-26.31,158.94,68.97
2026-07-27 13:53:02.024,0.01,0.18,1.46,-27.65,206.73,77.09
2026-07-27 13:53:02.038,0.01,0.18,1.46,-27.65,206.73,77.09
2026-07-27 13:53:02.066,-0.14,0.22,1.3,-14.59,186.4,134.03
