Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-27 13:54:16.248,0.04,-0.37,0.87,-55.66,-59.02,-42.79
2026-07-27 13:54:16.288,0.12,-0.47,0.91,-50.42,-61.65,-59.27
2026-07-27 13:54:16.288,0.12,-0.47,0.91,-50.42,-61.65,-59.27
2026-07-27 13:54:16.320,0.23,-0.53,0.91,-34.97,-77.82,-66.77
2026-07-27 13:54:16.356,0.33,-0.63,0.9,-38.21,-114.32,-51.82
2026-07-27 13:54:16.384,0.33,-0.63,0.9,-38.21,-114.32,-51.82
2026-07-27 13:54:16.399,0.41,-0.75,0.9,-74.28,-133.61,-16.17
2026-07-27 13:54:16.426,0.41,-0.75,0.9,-74.28,-133.61,-16.17
2026-07-27 13:54:16.453,0.38,-0.76,0.9,-62.68,-109.25,22.52
2026-07-27 13:54:16.467,0.25,-0.69,0.91,19.96,-69.4,50.72
2026-07-27 13:54:16.494,0.25,-0.69,0.91,19.96,-69.4,50.72
2026-07-27 13:54:16.522,0.04,-0.6,0.92,103.09,-41.99,59.33
2026-07-27 13:54:16.549,-0.19,-0.46,0.92,166.87,-21.67,54.38
2026-07-27 13:54:16.562,-0.19,-0.46,0.92,166.87,-21.67,54.38
2026-07-27 13:54:16.590,-0.41,-0.28,0.98,190.86,1.53,34.61
2026-07-27 13:54:16.611,-0.41,-0.28,0.98,190.86,1.53,34.61
2026-07-27 13:54:16.645,-0.48,-0.25,1.14,89.17,15.93,3.91
2026-07-27 13:54:16.659,-0.3,-0.3,1.2,-89.48,23.5,-15.93
2026-07-27 13:54:16.686,-0.3,-0.3,1.2,-89.48,23.5,-15.93
2026-07-27 13:54:16.715,0.05,-0.16,1.01,-179.32,53.28,-16.78
2026-07-27 13:54:16.728,0.05,-0.16,1.01,-179.32,53.28,-16.78
2026-07-27 13:54:16.755,0.42,0.23,0.64,-145.69,104.43,-12.27
2026-07-27 13:54:16.783,0.79,0.73,0.32,-65.86,117.49,-22.34
2026-07-27 13:54:16.817,0.79,0.73,0.32,-65.86,117.49,-22.34
2026-07-27 13:54:16.838,1.25,0.95,0.34,-23.8,39.31,-64.09
2026-07-27 13:54:16.866,1.66,0.59,0.85,-19.47,-82.09,-108.09
2026-07-27 13:54:16.879,1.66,0.59,0.85,-19.47,-82.09,-108.09
2026-07-27 13:54:16.907,1.8,-0.13,1.62,29.17,-147.34,-99.06
2026-07-27 13:54:16.922,1.8,-0.13,1.62,29.17,-147.34,-99.06
2026-07-27 13:54:16.975,1.55,-0.84,2.16,116.27,-155.94,-62.44
2026-07-27 13:54:16.975,0.96,-1.37,2.15,137.21,-160.22,-34.48
2026-07-27 13:54:17.003,0.96,-1.37,2.15,137.21,-160.22,-34.48
2026-07-27 13:54:17.044,0.24,-1.59,1.64,85.94,-160.03,22.71
2026-07-27 13:54:17.044,0.24,-1.59,1.64,85.94,-160.03,22.71
2026-07-27 13:54:17.092,-0.28,-1.38,0.92,74.16,-133.97,92.1
2026-07-27 13:54:17.127,-0.45,-0.82,0.34,150.88,-76.48,112.85
2026-07-27 13:54:17.127,-0.45,-0.82,0.34,150.88,-76.48,112.85
2026-07-27 13:54:17.140,-0.45,-0.31,0.11,238.77,-2.75,81.18
2026-07-27 13:54:17.184,-0.43,-0.11,0.22,238.83,59.02,24.72
2026-07-27 13:54:17.195,-0.43,-0.11,0.22,238.83,59.02,24.72
2026-07-27 13:54:17.223,-0.41,-0.04,0.48,183.04,81.85,-42.97
2026-07-27 13:54:17.237,-0.41,-0.04,0.48,183.04,81.85,-42.97
2026-07-27 13:54:17.278,-0.32,0.09,0.94,119.38,79.16,-111.88
2026-07-27 13:54:17.292,0.02,0.34,1.94,-5.68,92.22,-145.08
2026-07-27 13:54:17.333,0.02,0.34,1.94,-5.68,92.22,-145.08
2026-07-27 13:54:17.366,0.68,0.41,3.27,-197.02,70.43,-127.93
2026-07-27 13:54:17.366,0.68,0.41,3.27,-321.78,8.97,-60.42
2026-07-27 13:54:17.388,1.14,0.55,3.78,-321.78,8.97,-60.42
2026-07-27 13:54:17.415,1.11,1.11,2.76,-256.47,52.43,45.23
2026-07-27 13:54:17.455,1.11,1.11,2.76,-256.47,52.43,45.23
2026-07-27 13:54:17.473,0.91,1.5,1.16,-108.46,196.96,92.1
2026-07-27 13:54:17.517,0.82,1.4,0.12,-57.68,282.96,16.24
2026-07-27 13:54:17.517,0.82,1.4,0.12,-57.68,282.96,16.24
2026-07-27 13:54:17.562,0.84,1.05,-0.24,-102.72,260.07,-112.92
2026-07-27 13:54:17.562,0.84,1.05,-0.24,-102.72,260.07,-112.92
2026-07-27 13:54:17.604,0.88,0.64,-0.25,-134.09,188.23,-204.22
2026-07-27 13:54:17.604,0.84,0.3,-0.16,-110.53,116.94,-222.17
2026-07-27 13:54:17.692,0.84,0.3,-0.16,-110.53,116.94,-222.17
