Sample,Timestamp,Elapsed_s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,2026-08-03 13:20:26.620,0.0,-0.33,-0.13,0.86,1.65,-4.82,2.62
1,2026-08-03 13:20:26.621,0.001,0.03,0.97,1.28,47.06,-2.26,77.7
2,2026-08-03 13:20:26.621,0.001,-0.39,0.84,1.24,-57.62,2.62,-25.82
3,2026-08-03 13:20:26.622,0.002,-0.39,0.84,1.24,-57.62,2.62,-25.82
4,2026-08-03 13:20:26.623,0.003,-0.31,0.37,1.04,-124.21,10.5,-103.15
5,2026-08-03 13:20:26.672,0.052,-0.31,0.37,1.04,-124.21,10.5,-103.15
6,2026-08-03 13:20:26.673,0.053,0.01,-0.0,0.92,-122.07,18.31,-111.33
7,2026-08-03 13:20:26.673,0.053,0.29,-0.13,0.88,-81.36,24.41,-71.04
8,2026-08-03 13:20:26.674,0.054,0.29,-0.13,0.88,-81.36,24.41,-71.04
9,2026-08-03 13:20:26.732,0.112,0.42,-0.1,0.87,-50.48,26.55,-21.3
10,2026-08-03 13:20:26.734,0.114,0.42,-0.1,0.87,-50.48,26.55,-21.3
11,2026-08-03 13:20:26.735,0.115,0.45,-0.05,0.9,-40.71,21.48,13.31
12,2026-08-03 13:20:26.852,0.232,0.45,-0.05,0.9,-40.71,21.48,13.31
13,2026-08-03 13:20:26.853,0.233,0.42,-0.06,0.93,-33.02,17.09,25.88
14,2026-08-03 13:20:26.854,0.234,0.42,-0.06,0.93,-15.69,19.41,21.36
15,2026-08-03 13:20:26.854,0.234,0.39,-0.06,0.91,-15.69,19.41,21.36
16,2026-08-03 13:20:26.855,0.235,0.36,-0.08,0.87,-8.0,16.05,11.23
17,2026-08-03 13:20:26.926,0.306,0.36,-0.08,0.87,-8.0,16.05,11.23
18,2026-08-03 13:20:26.927,0.307,0.35,-0.12,0.83,-15.81,2.44,1.22
19,2026-08-03 13:20:26.973,0.353,0.38,-0.15,0.83,-11.35,-12.7,-13.85
20,2026-08-03 13:20:27.032,0.412,0.42,-0.19,0.87,-2.38,-16.85,-23.44
21,2026-08-03 13:20:27.033,0.413,0.44,-0.21,0.87,-11.78,-7.02,-16.78
22,2026-08-03 13:20:27.039,0.419,0.44,-0.21,0.87,-11.78,-7.02,-16.78
23,2026-08-03 13:20:27.094,0.474,0.42,-0.21,0.85,-24.96,9.46,-2.26
24,2026-08-03 13:20:27.095,0.475,0.42,-0.21,0.85,-24.96,9.46,-2.26
25,2026-08-03 13:20:27.096,0.476,0.35,-0.22,0.82,-36.5,19.04,3.72
26,2026-08-03 13:20:27.162,0.542,0.35,-0.22,0.82,-36.5,19.04,3.72
27,2026-08-03 13:20:27.163,0.543,0.29,-0.2,0.8,-17.4,20.51,-23.07
28,2026-08-03 13:20:27.213,0.593,0.29,-0.2,0.8,-17.4,20.51,-23.07
29,2026-08-03 13:20:27.214,0.594,0.29,-0.14,0.87,53.28,39.12,-80.02
30,2026-08-03 13:20:27.214,0.594,0.3,-0.08,0.97,75.13,56.34,-118.35
31,2026-08-03 13:20:27.272,0.652,0.3,-0.08,0.97,75.13,56.34,-118.35
32,2026-08-03 13:20:27.273,0.653,0.28,-0.03,1.01,18.31,55.24,-113.77
33,2026-08-03 13:20:27.274,0.654,0.28,-0.03,1.01,18.31,55.24,-113.77
34,2026-08-03 13:20:27.334,0.714,0.25,0.02,0.97,-28.69,56.64,-87.1
35,2026-08-03 13:20:27.392,0.772,0.21,0.06,0.9,-37.29,58.84,-59.57
36,2026-08-03 13:20:27.393,0.773,0.22,0.05,0.86,-24.11,59.69,-57.13
37,2026-08-03 13:20:27.451,0.831,0.26,0.05,0.91,-22.89,80.75,-92.83
38,2026-08-03 13:20:27.512,0.892,0.26,0.09,1.01,-54.93,98.27,-117.13
39,2026-08-03 13:20:27.513,0.893,0.22,0.1,1.01,-52.8,80.14,-74.34
40,2026-08-03 13:20:27.572,0.952,0.2,0.07,0.96,0.85,47.36,-7.45
41,2026-08-03 13:20:27.574,0.954,0.2,0.07,0.96,0.85,47.36,-7.45
42,2026-08-03 13:20:27.574,0.954,0.22,0.02,0.9,21.73,7.93,19.35
43,2026-08-03 13:20:27.636,1.016,0.22,0.02,0.9,21.73,7.93,19.35
44,2026-08-03 13:20:27.637,1.017,0.22,-0.05,0.96,-4.46,-23.86,16.11
45,2026-08-03 13:20:27.691,1.071,0.22,-0.05,0.96,-4.46,-23.86,16.11
46,2026-08-03 13:20:27.692,1.072,0.28,-0.16,0.98,-32.35,-77.39,11.78
47,2026-08-03 13:20:27.692,1.072,0.28,-0.16,0.98,-34.91,-114.93,21.79
48,2026-08-03 13:20:27.751,1.131,0.31,-0.2,0.89,-34.91,-114.93,21.79
49,2026-08-03 13:20:27.751,1.131,-0.09,-0.14,0.85,19.53,-66.96,54.99
50,2026-08-03 13:20:27.752,1.132,-0.09,-0.14,0.85,19.53,-66.96,54.99
51,2026-08-03 13:20:27.812,1.192,-0.19,-0.09,0.71,98.82,-118.96,139.89
52,2026-08-03 13:20:27.875,1.255,0.34,-0.22,0.45,97.11,-311.28,249.69
53,2026-08-03 13:20:27.876,1.256,0.34,-0.22,0.45,5.49,-279.48,212.46
54,2026-08-03 13:20:27.876,1.256,0.54,-0.32,0.46,5.49,-279.48,212.46
55,2026-08-03 13:20:27.932,1.312,0.3,-0.39,0.9,-121.83,2.08,55.18
56,2026-08-03 13:20:27.992,1.372,0.11,-0.59,1.29,-164.31,188.54,-22.28
57,2026-08-03 13:20:27.992,1.372,0.06,-0.67,1.28,-69.34,183.04,-5.55
