Worker,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
worker 1,2026-07-27 13:06:50.046,0.26,-0.14,0.95,1.65,-2.87,-1.71
worker 1,2026-07-27 13:06:50.107,0.0,-0.1,0.97,10.62,-42.91,93.38
worker 1,2026-07-27 13:06:50.108,-0.09,0.09,0.91,10.38,-13.43,75.81
worker 1,2026-07-27 13:06:50.164,-0.09,0.08,0.94,-7.69,0.79,32.84
worker 1,2026-07-27 13:06:50.165,-0.09,0.08,0.94,-7.69,0.79,32.84
worker 1,2026-07-27 13:06:50.225,-0.09,0.08,0.94,-7.69,0.79,32.84
worker 1,2026-07-27 13:06:50.225,0.05,-0.22,1.0,-41.2,-7.14,-14.95
worker 1,2026-07-27 13:06:50.294,0.04,-0.23,0.97,-28.14,-4.21,-8.06
worker 1,2026-07-27 13:06:50.294,0.01,-0.16,0.98,-8.3,-2.87,4.88
worker 1,2026-07-27 13:06:50.344,0.01,-0.16,0.98,-8.3,-2.87,4.88
worker 1,2026-07-27 13:06:50.345,0.0,-0.13,0.98,0.24,-3.97,9.7
worker 1,2026-07-27 13:06:50.405,0.02,-0.16,0.98,-1.22,-3.97,5.68
worker 1,2026-07-27 13:06:50.407,0.03,-0.19,0.98,-3.23,-2.69,0.79
worker 1,2026-07-27 13:06:50.463,0.03,-0.19,0.98,-3.23,-2.69,0.79
worker 1,2026-07-27 13:06:50.464,0.03,-0.19,0.98,-2.14,-1.28,0.43
worker 1,2026-07-27 13:06:50.524,0.02,-0.18,0.98,0.18,-0.43,2.32
worker 1,2026-07-27 13:06:50.525,0.02,-0.18,0.97,1.71,-0.43,2.93
worker 1,2026-07-27 13:06:50.584,0.02,-0.18,0.97,1.71,-0.43,2.93
worker 1,2026-07-27 13:06:50.643,0.02,-0.18,0.97,2.14,-0.73,2.26
worker 1,2026-07-27 13:06:50.644,0.02,-0.18,0.97,2.14,-0.73,2.26
worker 1,2026-07-27 13:06:50.644,0.02,-0.18,0.97,2.32,-0.98,1.59
worker 1,2026-07-27 13:06:50.645,0.02,-0.18,0.98,2.32,-1.46,1.16
worker 1,2026-07-27 13:06:50.704,0.02,-0.18,0.98,2.32,-1.46,1.16
worker 1,2026-07-27 13:06:50.705,0.02,-0.18,0.98,1.46,-1.59,1.1
worker 1,2026-07-27 13:06:50.763,0.02,-0.18,0.98,1.46,-1.59,1.1
worker 1,2026-07-27 13:06:50.764,0.02,-0.17,0.97,0.24,-1.34,1.71
worker 1,2026-07-27 13:06:50.764,0.02,-0.17,0.97,-0.73,-1.77,1.89
worker 1,2026-07-27 13:06:50.824,0.03,-0.17,0.98,-0.73,-1.77,1.89
worker 1,2026-07-27 13:06:50.825,0.03,-0.17,0.98,-1.77,-2.2,0.73
worker 1,2026-07-27 13:06:50.927,0.02,-0.17,0.98,-3.72,-2.26,-0.73
worker 1,2026-07-27 13:06:50.928,0.02,-0.17,0.98,-3.72,-2.26,-0.73
worker 1,2026-07-27 13:06:50.928,0.03,-0.18,0.98,-7.45,-2.44,-2.99
worker 1,2026-07-27 13:06:50.946,0.03,-0.18,0.98,-7.45,-2.44,-2.99
worker 1,2026-07-27 13:06:50.947,0.03,-0.19,0.97,-12.02,-2.5,-7.75
worker 1,2026-07-27 13:06:51.004,0.04,-0.2,0.98,-15.2,-2.81,-11.96
worker 1,2026-07-27 13:06:51.004,0.05,-0.22,0.97,-17.88,-4.15,-11.54
worker 1,2026-07-27 13:06:51.071,0.05,-0.22,0.97,-17.88,-4.15,-11.54
worker 1,2026-07-27 13:06:51.072,0.05,-0.23,0.97,-18.37,-4.88,-8.06
worker 1,2026-07-27 13:06:51.147,0.06,-0.25,0.98,-13.55,-3.05,-3.72
worker 1,2026-07-27 13:06:51.148,0.06,-0.26,0.98,-6.1,0.85,1.71
worker 1,2026-07-27 13:06:51.184,0.06,-0.26,0.98,-6.1,0.85,1.71
worker 1,2026-07-27 13:06:51.185,0.04,-0.23,0.99,3.42,6.29,6.9
worker 1,2026-07-27 13:06:51.248,0.04,-0.23,0.99,17.82,13.37,6.41
worker 1,2026-07-27 13:06:51.251,-0.0,-0.15,0.99,17.82,13.37,6.41
worker 1,2026-07-27 13:06:51.313,-0.03,-0.1,0.98,28.08,20.02,-1.83
worker 1,2026-07-27 13:06:51.314,-0.03,-0.1,0.98,28.08,20.02,-1.83
worker 1,2026-07-27 13:06:51.314,-0.03,-0.13,0.97,29.17,21.06,-10.62
worker 1,2026-07-27 13:06:51.315,-0.03,-0.13,0.97,29.17,21.06,-10.62
worker 1,2026-07-27 13:06:51.424,0.02,-0.23,0.95,16.3,8.79,-15.14
worker 1,2026-07-27 13:06:51.425,0.02,-0.23,0.95,16.3,8.79,-15.14
worker 1,2026-07-27 13:06:51.425,0.06,-0.3,0.97,-14.89,-12.82,-24.72
worker 1,2026-07-27 13:06:51.426,0.06,-0.31,0.97,-40.28,-14.1,-38.57
worker 1,2026-07-27 13:06:51.484,0.01,-0.25,0.93,-34.67,9.09,-43.82
worker 1,2026-07-27 13:06:51.484,-0.02,-0.21,0.9,-7.02,28.02,-39.31
worker 1,2026-07-27 13:06:51.546,-0.02,-0.21,0.9,-7.02,28.02,-39.31
worker 1,2026-07-27 13:06:51.547,-0.03,-0.24,0.9,10.07,31.31,-24.96
worker 1,2026-07-27 13:06:51.604,-0.07,-0.31,0.93,-0.73,24.48,1.77
worker 1,2026-07-27 13:06:51.604,-0.12,-0.4,0.95,-27.77,13.0,31.56
worker 1,2026-07-27 13:06:51.665,-0.12,-0.4,0.95,-27.77,13.0,31.56
worker 1,2026-07-27 13:06:51.666,-0.15,-0.42,0.95,-36.38,12.08,30.09
worker 1,2026-07-27 13:06:51.667,-0.15,-0.42,0.95,-36.38,12.08,30.09
worker 1,2026-07-27 13:06:51.726,-0.18,-0.43,0.95,-14.53,26.98,-5.86
worker 1,2026-07-27 13:06:51.784,-0.21,-0.45,0.95,17.52,47.0,-56.95
worker 1,2026-07-27 13:06:51.784,-0.2,-0.37,0.98,47.73,60.61,-115.23
worker 1,2026-07-27 13:06:51.785,-0.2,-0.37,0.98,47.73,60.61,-115.23
worker 1,2026-07-27 13:06:51.844,-0.17,-0.27,0.99,58.41,49.5,-139.04
worker 1,2026-07-27 13:06:51.845,-0.14,-0.16,0.99,44.56,23.32,-125.61
worker 1,2026-07-27 13:06:51.908,-0.14,-0.16,0.99,44.56,23.32,-125.61
worker 1,2026-07-27 13:06:51.909,-0.01,0.19,1.0,42.18,6.16,-116.21
worker 1,2026-07-27 13:06:51.970,0.21,0.91,0.97,71.53,0.55,-106.51
worker 1,2026-07-27 13:06:51.971,0.21,0.91,0.97,71.53,0.55,-106.51
worker 1,2026-07-27 13:06:51.971,0.24,1.2,0.87,77.51,4.82,-37.41
worker 1,2026-07-27 13:06:52.026,0.24,1.2,0.87,77.51,4.82,-37.41
worker 1,2026-07-27 13:06:52.026,-0.1,0.36,0.81,3.36,15.56,93.2
worker 1,2026-07-27 13:06:52.084,-0.46,-0.78,0.94,-97.96,36.25,166.87
worker 1,2026-07-27 13:06:52.085,-0.53,-1.14,1.04,-110.17,45.1,134.46
worker 1,2026-07-27 13:06:52.158,-0.53,-1.14,1.04,-110.17,45.1,134.46
worker 1,2026-07-27 13:06:52.159,-0.31,-0.73,0.92,-24.05,10.74,77.39
worker 1,2026-07-27 13:06:52.160,-0.31,-0.73,0.92,-24.05,10.74,77.39
worker 1,2026-07-27 13:06:52.204,-0.1,-0.21,0.81,42.42,-50.84,41.81
worker 1,2026-07-27 13:06:52.205,-0.1,-0.21,0.81,42.42,-50.84,41.81
worker 1,2026-07-27 13:06:52.265,-0.05,0.02,0.86,32.29,-72.14,20.02
worker 1,2026-07-27 13:06:52.266,-0.02,0.02,0.92,-3.3,-49.13,21.0
worker 1,2026-07-27 13:06:52.324,-0.03,-0.1,0.9,-20.32,-30.27,42.66
worker 1,2026-07-27 13:06:52.325,-0.03,-0.1,0.9,-20.32,-30.27,42.66
worker 1,2026-07-27 13:06:52.325,-0.13,-0.19,1.02,-13.37,-17.64,49.99
worker 1,2026-07-27 13:06:52.386,-0.13,-0.19,1.02,-13.37,-17.64,49.99
worker 1,2026-07-27 13:06:52.386,-0.15,-0.2,1.12,16.48,-12.88,28.69
worker 1,2026-07-27 13:06:52.445,-0.15,-0.2,1.12,16.6,-19.71,3.36
worker 1,2026-07-27 13:06:52.446,-0.03,-0.24,1.07,16.6,-19.71,3.36
worker 1,2026-07-27 13:06:52.446,0.06,-0.25,0.96,-16.78,-28.44,3.05
worker 1,2026-07-27 13:06:52.504,0.06,-0.25,0.96,-16.78,-28.44,3.05
worker 1,2026-07-27 13:06:52.506,0.03,-0.19,0.94,-25.21,-24.54,18.01
worker 1,2026-07-27 13:06:52.564,-0.04,-0.11,0.98,-3.3,-12.02,28.81
worker 1,2026-07-27 13:06:52.624,-0.04,-0.11,0.98,-3.3,-12.02,28.81
