Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-27 13:35:40.905,-0.06,0.22,0.94,10.13,10.01,12.27
2026-07-27 13:35:40.973,-0.06,0.22,0.94,10.13,10.01,12.27
2026-07-27 13:35:41.012,-0.06,0.25,0.97,9.09,5.8,11.6
2026-07-27 13:35:41.102,-0.06,0.25,0.97,9.09,5.8,11.6
2026-07-27 13:35:41.155,-0.06,0.27,0.96,11.9,2.99,9.09
2026-07-27 13:35:41.155,-0.05,0.27,0.91,14.71,2.62,4.82
2026-07-27 13:35:41.186,-0.05,0.27,0.91,14.71,2.62,4.82
2026-07-27 13:35:41.213,-0.03,0.26,0.86,14.95,2.5,0.18
2026-07-27 13:35:41.263,-0.03,0.26,0.86,14.95,2.5,0.18
2026-07-27 13:35:41.273,-0.02,0.26,0.85,10.86,-0.12,-3.78
2026-07-27 13:35:41.274,-0.02,0.26,0.85,10.86,-0.12,-3.78
2026-07-27 13:35:41.274,-0.01,0.27,0.9,3.85,-5.0,-5.68
2026-07-27 13:35:41.274,-0.01,0.27,0.9,3.85,-5.0,-5.68
2026-07-27 13:35:41.274,-0.01,0.3,1.0,-2.44,-10.31,-4.82
2026-07-27 13:35:41.274,-0.01,0.3,1.0,-6.35,-13.49,-2.5
2026-07-27 13:35:41.274,-0.0,0.33,1.09,-6.35,-13.49,-2.5
2026-07-27 13:35:41.274,-0.0,0.33,1.08,-3.23,-10.68,-0.49
2026-07-27 13:35:41.274,-0.0,0.33,1.08,-3.23,-10.68,-0.49
2026-07-27 13:35:41.274,-0.02,0.31,1.0,5.49,-3.91,-0.49
2026-07-27 13:35:41.274,-0.02,0.31,1.0,5.49,-3.91,-0.49
2026-07-27 13:35:41.275,-0.03,0.29,0.93,10.74,0.06,-3.23
2026-07-27 13:35:41.275,-0.03,0.29,0.93,10.74,0.06,-3.23
2026-07-27 13:35:41.275,-0.03,0.28,0.93,11.96,-0.79,-7.02
2026-07-27 13:35:41.275,-0.03,0.28,0.93,10.68,-3.36,-8.54
2026-07-27 13:35:41.275,-0.02,0.29,0.97,10.68,-3.36,-8.54
2026-07-27 13:35:41.275,-0.01,0.32,1.01,6.47,-4.7,-5.49
2026-07-27 13:35:41.279,-0.01,0.32,1.01,6.47,-4.7,-5.49
2026-07-27 13:35:41.303,0.0,0.34,1.0,0.67,-3.78,-0.24
2026-07-27 13:35:41.303,0.0,0.34,1.0,0.67,-3.78,-0.24
2026-07-27 13:35:41.455,0.01,0.35,0.95,-5.8,-1.89,3.48
2026-07-27 13:35:41.507,0.01,0.35,0.95,-5.8,-1.89,3.48
2026-07-27 13:35:41.507,0.0,0.34,0.9,-9.34,-1.1,5.19
2026-07-27 13:35:41.507,0.0,0.34,0.9,-9.34,-1.1,5.19
2026-07-27 13:35:41.508,-0.01,0.34,0.89,-6.77,-1.1,5.07
2026-07-27 13:35:41.508,-0.01,0.34,0.89,-2.14,-1.4,3.54
2026-07-27 13:35:41.508,-0.02,0.35,0.9,-2.14,-1.4,3.54
2026-07-27 13:35:41.508,-0.02,0.35,0.93,-0.67,-1.89,1.53
2026-07-27 13:35:41.549,-0.02,0.35,0.93,-0.67,-1.89,1.53
2026-07-27 13:35:41.561,-0.02,0.34,0.96,-2.2,-2.38,-0.67
2026-07-27 13:35:41.562,-0.02,0.34,0.96,-2.2,-2.38,-0.67
2026-07-27 13:35:41.579,-0.01,0.33,0.97,-5.8,-3.11,-2.26
2026-07-27 13:35:41.583,-0.01,0.33,0.97,-5.8,-3.11,-2.26
2026-07-27 13:35:41.703,-0.01,0.31,0.98,-11.47,-4.03,-3.11
2026-07-27 13:35:41.737,-0.01,0.31,0.98,-11.47,-4.03,-3.11
2026-07-27 13:35:41.744,-0.0,0.29,0.97,-15.44,-4.52,-3.6
2026-07-27 13:35:41.766,-0.01,0.29,0.94,-15.44,-4.88,-3.6
2026-07-27 13:35:41.766,-0.01,0.29,0.94,-15.44,-4.88,-3.6
2026-07-27 13:35:41.767,-0.01,0.28,0.94,-14.34,-6.16,-3.6
2026-07-27 13:35:41.771,-0.01,0.28,0.94,-14.34,-6.16,-3.6
2026-07-27 13:35:41.771,-0.01,0.28,0.96,-13.12,-7.32,-4.15
2026-07-27 13:35:41.771,-0.01,0.28,0.96,-13.12,-7.32,-4.15
2026-07-27 13:35:41.903,-0.02,0.27,0.98,-11.41,-6.47,-5.37
2026-07-27 13:35:41.949,-0.02,0.27,0.98,-11.41,-6.47,-5.37
2026-07-27 13:35:41.954,-0.02,0.26,0.99,-10.86,-3.97,-7.02
2026-07-27 13:35:41.967,-0.01,0.25,1.0,-10.62,-0.98,-8.36
2026-07-27 13:35:41.968,-0.01,0.25,1.0,-10.62,-0.98,-8.36
2026-07-27 13:35:41.968,-0.02,0.25,1.0,-8.97,1.71,-9.16
2026-07-27 13:35:41.968,-0.02,0.25,1.0,-8.97,1.71,-9.16
2026-07-27 13:35:41.968,-0.05,0.27,0.97,-5.86,4.21,-10.44
2026-07-27 13:35:42.000,-0.05,0.27,0.97,-5.86,4.21,-10.44
2026-07-27 13:35:42.003,-0.14,0.38,0.93,2.87,6.65,-16.48
2026-07-27 13:35:42.005,-0.14,0.38,0.93,2.87,6.65,-16.48
