Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-27 13:40:16.799,-0.07,-0.18,0.97,-6.65,-1.71,0.37
2026-07-27 13:40:16.800,-0.07,-0.18,0.97,-6.23,-1.34,1.46
2026-07-27 13:40:16.800,-0.07,-0.18,0.97,-6.53,-0.98,2.01
2026-07-27 13:40:16.858,-0.07,-0.18,0.97,-6.53,-0.98,2.01
2026-07-27 13:40:16.859,-0.07,-0.19,0.97,-7.39,-0.67,1.95
2026-07-27 13:40:16.859,-0.07,-0.19,0.97,-7.39,-0.67,1.95
2026-07-27 13:40:16.948,-0.07,-0.2,0.97,-8.85,-0.49,2.08
2026-07-27 13:40:16.948,-0.07,-0.2,0.97,-8.85,-0.49,2.08
2026-07-27 13:40:16.948,-0.07,-0.21,0.97,-10.68,-0.06,2.62
2026-07-27 13:40:16.949,-0.07,-0.21,0.97,-10.68,-0.06,2.62
2026-07-27 13:40:16.978,-0.07,-0.23,0.97,-11.41,2.01,3.23
2026-07-27 13:40:17.053,-0.08,-0.23,0.96,-10.86,5.98,3.54
2026-07-27 13:40:17.053,-0.08,-0.23,0.96,-10.86,5.98,3.54
2026-07-27 13:40:17.054,-0.09,-0.22,0.95,-9.22,9.34,2.69
2026-07-27 13:40:17.279,-0.09,-0.22,0.95,-9.22,9.34,2.69
2026-07-27 13:40:17.279,-0.1,-0.21,0.95,-7.14,10.01,-0.24
2026-07-27 13:40:17.279,-0.1,-0.21,0.95,-7.14,10.01,-0.24
2026-07-27 13:40:17.280,-0.11,-0.22,0.95,-5.19,8.73,-3.78
2026-07-27 13:40:17.280,-0.1,-0.23,0.96,-3.78,6.71,-4.58
2026-07-27 13:40:17.280,-0.1,-0.23,0.96,-3.78,6.71,-4.58
2026-07-27 13:40:17.280,-0.1,-0.22,0.95,-2.99,4.27,-1.77
2026-07-27 13:40:17.282,-0.1,-0.22,0.95,-2.99,4.27,-1.77
2026-07-27 13:40:17.282,-0.1,-0.22,0.94,0.43,1.77,1.22
2026-07-27 13:40:17.282,-0.1,-0.22,0.94,0.43,1.77,1.22
2026-07-27 13:40:17.518,-0.1,-0.2,0.94,5.49,-1.71,0.98
2026-07-27 13:40:17.519,-0.1,-0.2,0.94,5.49,-1.71,0.98
2026-07-27 13:40:17.519,-0.1,-0.18,0.93,4.88,-8.91,-2.81
2026-07-27 13:40:17.519,-0.1,-0.18,0.93,4.88,-8.91,-2.81
2026-07-27 13:40:17.520,-0.07,-0.18,0.94,-2.56,-21.06,-4.76
2026-07-27 13:40:17.520,-0.03,-0.18,0.98,-13.79,-33.87,-3.05
2026-07-27 13:40:17.521,-0.03,-0.18,0.98,-13.79,-33.87,-3.05
2026-07-27 13:40:17.521,0.0,-0.17,1.03,-27.83,-38.02,-6.77
2026-07-27 13:40:17.522,0.0,-0.17,1.03,-27.83,-38.02,-6.77
2026-07-27 13:40:17.522,-0.07,-0.22,1.07,-39.18,-26.61,-20.51
2026-07-27 13:40:17.523,-0.07,-0.22,1.07,-39.18,-26.61,-20.51
2026-07-27 13:40:17.578,-0.19,-0.42,1.07,-35.89,7.2,-41.44
2026-07-27 13:40:17.578,-0.17,-0.59,0.99,-17.03,60.79,-58.04
2026-07-27 13:40:17.579,-0.17,-0.59,0.99,-17.03,60.79,-58.04
2026-07-27 13:40:17.759,-0.12,-0.34,1.04,6.23,91.0,-43.27
2026-07-27 13:40:17.761,-0.12,-0.34,1.04,6.23,91.0,-43.27
2026-07-27 13:40:17.762,-0.19,0.04,1.39,35.58,61.1,-16.54
2026-07-27 13:40:17.762,-0.19,0.04,1.39,35.58,61.1,-16.54
2026-07-27 13:40:17.762,-0.23,0.14,1.55,98.45,14.04,-37.9
2026-07-27 13:40:17.762,-0.23,0.14,1.55,98.45,14.04,-37.9
2026-07-27 13:40:17.762,-0.15,0.13,1.4,195.31,-1.53,-116.46
2026-07-27 13:40:17.762,-0.01,0.08,1.2,247.25,8.12,-187.19
2026-07-27 13:40:17.819,-0.01,0.08,1.2,247.25,8.12,-187.19
2026-07-27 13:40:17.821,0.07,0.03,0.97,199.77,6.71,-197.75
2026-07-27 13:40:17.878,0.07,0.03,0.97,199.77,6.71,-197.75
2026-07-27 13:40:17.878,0.08,0.02,0.78,110.17,-2.75,-178.04
2026-07-27 13:40:17.879,0.08,0.02,0.78,110.17,-2.75,-178.04
2026-07-27 13:40:17.941,0.01,0.06,0.75,72.08,6.96,-143.07
2026-07-27 13:40:17.941,-0.07,0.06,0.77,85.57,4.09,-54.87
2026-07-27 13:40:17.941,-0.07,0.06,0.77,85.57,4.09,-54.87
2026-07-27 13:40:17.999,-0.15,0.02,0.79,78.06,-8.0,11.84
