Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-27 13:38:18.557,0.01,-0.24,0.98,-97.78,-42.6,-6.23
2026-07-27 13:38:18.557,0.03,-0.28,0.97,-78.19,-27.34,-6.1
2026-07-27 13:38:18.558,-0.01,-0.26,1.05,-45.23,-6.16,-0.12
2026-07-27 13:38:18.558,-0.01,-0.26,1.05,-45.23,-6.16,-0.12
2026-07-27 13:38:18.558,-0.1,-0.16,1.15,-11.6,20.14,5.86
2026-07-27 13:38:18.652,-0.1,-0.16,1.15,-11.6,20.14,5.86
2026-07-27 13:38:18.652,-0.19,-0.03,1.12,15.14,55.18,-5.31
2026-07-27 13:38:18.653,-0.19,-0.03,1.12,26.67,101.93,-49.01
2026-07-27 13:38:18.653,-0.23,0.02,1.04,26.67,101.93,-49.01
2026-07-27 13:38:18.672,-0.19,-0.01,1.07,10.44,181.88,-115.78
2026-07-27 13:38:18.672,-0.19,-0.01,1.07,10.44,181.88,-115.78
2026-07-27 13:38:18.672,-0.13,-0.15,0.98,-2.93,249.39,-101.07
2026-07-27 13:38:18.672,-0.13,-0.15,0.98,-2.93,249.39,-101.07
2026-07-27 13:38:18.672,-0.24,-0.3,0.78,-4.39,187.5,31.56
2026-07-27 13:38:18.693,-0.4,-0.34,0.63,-13.98,39.12,109.13
2026-07-27 13:38:18.720,-0.4,-0.34,0.63,-13.98,39.12,109.13
2026-07-27 13:38:18.782,-0.44,-0.42,0.63,-18.07,-65.06,54.69
2026-07-27 13:38:18.783,-0.44,-0.42,0.63,-18.07,-65.06,54.69
2026-07-27 13:38:18.783,-0.46,-0.48,0.77,-23.74,-95.7,-30.64
2026-07-27 13:38:18.903,-0.46,-0.48,0.77,-23.74,-95.7,-30.64
2026-07-27 13:38:18.903,-0.47,-0.47,0.86,-30.7,-76.11,-58.11
2026-07-27 13:38:18.904,-0.46,-0.45,0.86,-30.58,-39.55,-40.1
2026-07-27 13:38:18.904,-0.46,-0.45,0.86,-30.58,-39.55,-40.1
2026-07-27 13:38:18.904,-0.43,-0.42,0.83,-28.87,-21.97,-39.79
2026-07-27 13:38:18.961,-0.43,-0.42,0.83,-28.87,-21.97,-39.79
2026-07-27 13:38:18.962,-0.36,-0.36,0.76,-3.42,-37.29,-69.82
2026-07-27 13:38:18.962,-0.36,-0.36,0.76,-3.42,-37.29,-69.82
2026-07-27 13:38:19.024,-0.28,-0.21,0.73,106.32,-102.84,-119.45
2026-07-27 13:38:19.027,-0.15,-0.08,0.8,229.49,-181.58,-141.48
2026-07-27 13:38:19.080,-0.15,-0.08,0.8,229.49,-181.58,-141.48
2026-07-27 13:38:19.080,-0.07,-0.05,0.82,214.29,-137.33,-73.3
2026-07-27 13:38:19.080,-0.07,-0.05,0.82,214.29,-137.33,-73.3
2026-07-27 13:38:19.339,0.08,-0.09,0.78,84.53,-20.94,-34.55
2026-07-27 13:38:19.339,0.08,-0.09,0.78,84.53,-20.94,-34.55
2026-07-27 13:38:19.383,0.4,-0.16,0.78,-9.46,32.04,-92.22
2026-07-27 13:38:19.384,0.52,-0.11,0.93,-9.52,14.47,-114.87
2026-07-27 13:38:19.384,0.52,-0.11,0.93,-9.52,14.47,-114.87
2026-07-27 13:38:19.384,0.3,0.02,1.21,8.54,-39.73,-80.2
2026-07-27 13:38:19.384,0.3,0.02,1.21,8.54,-39.73,-80.2
2026-07-27 13:38:19.384,0.07,0.05,1.27,6.59,-53.83,-64.51
2026-07-27 13:38:19.384,0.07,0.05,1.27,6.59,-53.83,-64.51
2026-07-27 13:38:19.384,0.03,0.01,1.13,-17.64,-18.62,-95.64
2026-07-27 13:38:19.384,0.15,-0.04,1.06,-39.98,15.62,-121.22
2026-07-27 13:38:19.384,0.15,-0.04,1.06,-39.98,15.62,-121.22
2026-07-27 13:38:19.385,0.34,-0.1,1.04,-0.55,35.77,-130.25
2026-07-27 13:38:19.453,0.34,-0.1,1.04,-0.55,35.77,-130.25
2026-07-27 13:38:19.453,0.37,-0.08,1.05,70.07,41.99,-125.73
2026-07-27 13:38:19.453,0.37,-0.08,1.05,70.07,41.99,-125.73
2026-07-27 13:38:19.518,0.3,0.08,1.18,131.65,28.5,-76.29
2026-07-27 13:38:19.518,0.3,0.08,1.18,167.48,-16.91,0.49
2026-07-27 13:38:19.571,0.22,0.29,1.23,167.48,-16.91,0.49
2026-07-27 13:38:19.571,0.1,0.42,1.17,145.63,-60.06,38.82
2026-07-27 13:38:19.571,0.1,0.42,1.17,145.63,-60.06,38.82
2026-07-27 13:38:19.755,-0.01,0.45,1.06,72.02,-45.1,-6.9
2026-07-27 13:38:19.755,-0.01,0.45,1.06,72.02,-45.1,-6.9
2026-07-27 13:38:19.755,-0.05,0.44,0.96,-11.6,-6.1,-76.23
2026-07-27 13:38:19.755,-0.05,0.44,0.96,-11.6,-6.1,-76.23
2026-07-27 13:38:19.755,-0.04,0.51,0.95,-58.35,13.06,-110.17
2026-07-27 13:38:19.755,-0.05,0.58,0.98,-73.61,21.42,-114.07
2026-07-27 13:38:19.756,-0.05,0.58,0.98,-73.61,21.42,-114.07
2026-07-27 13:38:19.756,-0.03,0.46,0.95,-91.0,29.36,-91.61
2026-07-27 13:38:19.951,-0.03,0.46,0.95,-91.0,29.36,-91.61
2026-07-27 13:38:19.951,-0.04,0.25,0.9,-131.41,34.42,-79.83
2026-07-27 13:38:19.951,-0.04,0.25,0.9,-131.41,34.42,-79.83
2026-07-27 13:38:19.952,-0.1,0.06,0.89,-176.45,31.74,-100.34
2026-07-27 13:38:19.952,-0.13,-0.12,0.94,-182.43,24.96,-108.58
2026-07-27 13:38:19.952,-0.13,-0.12,0.94,-182.43,24.96,-108.58
2026-07-27 13:38:19.952,-0.03,-0.25,0.94,-134.22,3.78,-78.43
2026-07-27 13:38:19.952,-0.03,-0.25,0.94,-134.22,3.78,-78.43
2026-07-27 13:38:20.241,0.12,-0.26,0.86,-55.18,-36.13,-39.18
2026-07-27 13:38:20.242,0.12,-0.26,0.86,-55.18,-36.13,-39.18
2026-07-27 13:38:20.242,0.2,-0.16,0.75,22.03,-51.45,-30.76
2026-07-27 13:38:20.242,0.18,-0.05,0.73,79.59,-33.45,-43.46
2026-07-27 13:38:20.242,0.18,-0.05,0.73,79.59,-33.45,-43.46
2026-07-27 13:38:20.242,0.21,0.05,0.74,135.93,-34.0,-45.23
2026-07-27 13:38:20.242,0.21,0.05,0.74,135.93,-34.0,-45.23
2026-07-27 13:38:20.242,0.23,0.18,0.79,172.3,-45.1,-36.32
2026-07-27 13:38:20.242,0.23,0.18,0.79,172.3,-45.1,-36.32
2026-07-27 13:38:20.242,0.15,0.35,0.95,138.92,-24.72,-36.07
2026-07-27 13:38:20.242,0.15,0.35,0.95,65.86,14.28,-54.02
2026-07-27 13:38:20.242,-0.01,0.49,1.07,65.86,14.28,-54.02
2026-07-27 13:38:20.243,-0.14,0.5,1.06,3.66,37.17,-61.58
2026-07-27 13:38:20.350,-0.14,0.5,1.06,3.66,37.17,-61.58
