Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2026-07-21 03:20:21.508,0.29,0.11,0.99,-4.7,4.82,2.56
2026-07-21 03:20:21.509,0.57,-0.83,0.03,129.58,1.59,-57.5
2026-07-21 03:20:21.509,0.6,-0.84,0.18,176.15,1.89,-23.99
2026-07-21 03:20:21.509,0.6,-0.84,0.18,176.15,1.89,-23.99
2026-07-21 03:20:21.509,0.69,-0.78,0.28,184.14,16.6,-34.48
2026-07-21 03:20:21.556,0.69,-0.78,0.28,184.14,16.6,-34.48
2026-07-21 03:20:21.556,0.71,-0.67,0.39,202.03,52.86,-58.41
2026-07-21 03:20:21.556,0.71,-0.67,0.39,202.03,52.86,-58.41
2026-07-21 03:20:21.614,0.67,-0.52,0.48,203.37,99.98,-78.55
2026-07-21 03:20:21.616,0.61,-0.4,0.58,166.99,137.7,-85.33
2026-07-21 03:20:21.676,0.61,-0.4,0.58,166.99,137.7,-85.33
2026-07-21 03:20:21.676,0.53,-0.34,0.69,116.46,138.12,-70.19
2026-07-21 03:20:21.676,0.53,-0.34,0.69,116.46,138.12,-70.19
2026-07-21 03:20:21.736,0.51,-0.28,0.77,77.45,94.3,-53.53
2026-07-21 03:20:21.736,0.51,-0.28,0.77,77.45,94.3,-53.53
2026-07-21 03:20:21.736,0.51,-0.27,0.82,48.16,42.48,-40.77
2026-07-21 03:20:21.807,0.52,-0.28,0.85,26.79,16.97,-26.25
2026-07-21 03:20:21.807,0.52,-0.28,0.85,26.79,16.97,-26.25
2026-07-21 03:20:21.855,0.51,-0.26,0.86,20.26,15.01,-14.59
2026-07-21 03:20:21.856,0.51,-0.26,0.86,20.26,15.01,-14.59
2026-07-21 03:20:21.856,0.49,-0.26,0.87,18.86,14.34,-9.28
2026-07-21 03:20:21.915,0.49,-0.26,0.87,18.86,14.34,-9.28
2026-07-21 03:20:21.915,0.49,-0.23,0.87,27.47,4.46,-9.77
2026-07-21 03:20:21.917,0.49,-0.23,0.87,37.9,-7.51,-7.26
2026-07-21 03:20:21.978,0.52,-0.18,0.86,37.9,-7.51,-7.26
2026-07-21 03:20:21.978,0.54,-0.17,0.83,33.57,-12.15,-0.24
2026-07-21 03:20:22.036,0.54,-0.17,0.83,33.57,-12.15,-0.24
2026-07-21 03:20:22.037,0.55,-0.17,0.82,23.13,-7.14,3.66
2026-07-21 03:20:22.038,0.55,-0.17,0.82,23.13,-7.14,3.66
2026-07-21 03:20:22.154,0.55,-0.15,0.81,18.19,-2.5,1.59
2026-07-21 03:20:22.156,0.55,-0.15,0.81,18.19,-2.5,1.59
2026-07-21 03:20:22.156,0.54,-0.14,0.82,9.46,1.95,-1.04
2026-07-21 03:20:22.156,0.54,-0.14,0.82,9.46,1.95,-1.04
2026-07-21 03:20:22.157,0.51,-0.16,0.85,-5.31,12.27,0.24
2026-07-21 03:20:22.225,0.49,-0.17,0.88,-9.03,15.08,1.28
2026-07-21 03:20:22.225,0.49,-0.17,0.88,-9.03,15.08,1.28
2026-07-21 03:20:22.225,0.49,-0.17,0.87,-1.83,5.74,-0.06
2026-07-21 03:20:22.276,0.49,-0.17,0.87,-1.83,5.74,-0.06
2026-07-21 03:20:22.276,0.5,-0.16,0.87,3.48,-0.24,-1.22
2026-07-21 03:20:22.276,0.5,-0.16,0.87,3.48,-0.24,-1.22
2026-07-21 03:20:22.343,0.51,-0.15,0.86,3.85,2.56,-2.26
2026-07-21 03:20:22.343,0.51,-0.15,0.86,3.85,2.56,-2.26
2026-07-21 03:20:22.343,0.5,-0.15,0.85,-0.24,9.09,-3.54
2026-07-21 03:20:22.397,0.5,-0.15,0.85,-0.24,9.09,-3.54
2026-07-21 03:20:22.397,0.49,-0.16,0.86,-4.7,11.72,-4.21
2026-07-21 03:20:22.457,0.48,-0.16,0.87,-4.52,6.41,-4.03
2026-07-21 03:20:22.458,0.48,-0.16,0.87,-4.52,6.41,-4.03
2026-07-21 03:20:22.458,0.49,-0.16,0.86,-0.73,-1.46,-3.05
2026-07-21 03:20:22.516,0.49,-0.16,0.86,-0.73,-1.46,-3.05
2026-07-21 03:20:22.516,0.5,-0.16,0.86,1.1,-5.68,-2.01
2026-07-21 03:20:22.516,0.5,-0.16,0.86,1.1,-5.68,-2.01
2026-07-21 03:20:22.575,0.5,-0.16,0.87,-1.1,-3.78,-2.08
2026-07-21 03:20:22.577,0.5,-0.16,0.87,-1.1,-3.78,-2.08
2026-07-21 03:20:22.635,0.5,-0.16,0.87,-3.23,0.67,-2.32
2026-07-21 03:20:22.635,0.5,-0.16,0.87,-3.23,0.67,-2.32
2026-07-21 03:20:22.636,0.49,-0.16,0.87,-3.54,1.83,-2.44
2026-07-21 03:20:22.695,0.49,-0.16,0.86,-4.09,-0.37,-2.93
2026-07-21 03:20:22.695,0.49,-0.16,0.86,-4.09,-0.37,-2.93
2026-07-21 03:20:22.696,0.5,-0.17,0.86,-5.74,-1.28,-3.48
2026-07-21 03:20:22.759,0.5,-0.17,0.86,-5.74,-1.28,-3.48
2026-07-21 03:20:22.760,0.5,-0.17,0.87,-8.12,3.23,-3.23
2026-07-21 03:20:22.760,0.5,-0.17,0.87,-8.12,3.23,-3.23
2026-07-21 03:20:22.816,0.5,-0.18,0.87,-9.52,8.48,-1.71
2026-07-21 03:20:22.816,0.5,-0.18,0.87,-9.52,8.48,-1.71
2026-07-21 03:20:22.877,0.49,-0.19,0.87,-7.75,8.91,0.12
2026-07-21 03:20:22.877,0.49,-0.19,0.87,-7.75,8.91,0.12
2026-07-21 03:20:22.877,0.48,-0.19,0.87,-2.69,5.07,0.43
2026-07-21 03:20:22.935,0.48,-0.18,0.87,2.01,1.22,-0.24
2026-07-21 03:20:22.940,0.48,-0.18,0.87,2.01,1.22,-0.24
2026-07-21 03:20:22.941,0.48,-0.18,0.87,3.48,-0.31,-0.73
2026-07-21 03:20:23.004,0.48,-0.18,0.87,3.48,-0.31,-0.73
2026-07-21 03:20:23.004,0.48,-0.18,0.87,4.58,-0.12,-1.95
2026-07-21 03:20:23.005,0.48,-0.18,0.87,4.58,-0.12,-1.95
2026-07-21 03:20:23.061,0.49,-0.17,0.87,5.43,1.22,-3.36
2026-07-21 03:20:23.062,0.49,-0.17,0.87,5.43,1.22,-3.36
2026-07-21 03:20:23.175,0.48,-0.16,0.87,2.38,2.87,-2.38
2026-07-21 03:20:23.175,0.48,-0.16,0.87,2.38,2.87,-2.38
2026-07-21 03:20:23.177,0.48,-0.17,0.88,-1.77,4.33,0.12
2026-07-21 03:20:23.177,0.48,-0.17,0.88,-3.54,5.68,1.46
2026-07-21 03:20:23.177,0.47,-0.17,0.88,-3.54,5.68,1.46
2026-07-21 03:20:23.178,0.47,-0.17,0.88,-4.21,8.12,1.59
2026-07-21 03:20:23.239,0.47,-0.17,0.88,-4.21,8.12,1.59
2026-07-21 03:20:23.239,0.46,-0.18,0.88,-7.45,12.88,1.65
2026-07-21 03:20:23.239,0.46,-0.18,0.88,-7.45,12.88,1.65
2026-07-21 03:20:23.296,0.45,-0.19,0.88,-11.78,16.54,1.89
2026-07-21 03:20:23.296,0.45,-0.19,0.88,-11.78,16.54,1.89
2026-07-21 03:20:23.356,0.44,-0.19,0.88,-14.4,17.82,1.89
2026-07-21 03:20:23.356,0.44,-0.19,0.88,-14.4,17.82,1.89
2026-07-21 03:20:23.357,0.42,-0.2,0.88,-17.33,22.16,3.97
2026-07-21 03:20:23.418,0.39,-0.22,0.89,-22.16,30.46,10.86
2026-07-21 03:20:23.418,0.39,-0.22,0.89,-22.16,30.46,10.86
2026-07-21 03:20:23.475,0.36,-0.22,0.9,-27.77,31.07,23.25
2026-07-21 03:20:23.475,0.36,-0.22,0.9,-27.77,31.07,23.25
2026-07-21 03:20:23.475,0.37,-0.24,0.85,-52.19,21.67,36.5
2026-07-21 03:20:23.541,0.37,-0.24,0.85,-110.84,22.95,42.85
2026-07-21 03:20:23.541,0.36,-0.35,0.76,-110.84,22.95,42.85
2026-07-21 03:20:23.596,0.23,-0.55,0.71,-174.74,41.99,53.59
2026-07-21 03:20:23.597,0.23,-0.55,0.71,-174.74,41.99,53.59
2026-07-21 03:20:23.597,0.18,-0.69,0.72,-185.85,39.79,69.03
2026-07-21 03:20:23.666,0.18,-0.69,0.72,-185.85,39.79,69.03
2026-07-21 03:20:23.666,0.24,-0.76,0.75,-133.54,-0.18,53.77
2026-07-21 03:20:23.666,0.24,-0.76,0.75,-133.54,-0.18,53.77
2026-07-21 03:20:23.726,0.2,-0.82,0.78,-70.31,-12.63,32.41
2026-07-21 03:20:23.727,0.1,-0.82,0.76,-26.31,12.27,45.53
2026-07-21 03:20:23.776,0.1,-0.82,0.76,-26.31,12.27,45.53
2026-07-21 03:20:23.776,0.09,-0.77,0.7,-4.7,14.1,66.16
2026-07-21 03:20:23.776,0.09,-0.77,0.7,-4.7,14.1,66.16
2026-07-21 03:20:23.835,0.14,-0.74,0.63,-3.42,-7.75,64.94
2026-07-21 03:20:23.836,0.14,-0.74,0.63,-3.42,-7.75,64.94
2026-07-21 03:20:23.836,0.15,-0.74,0.6,-5.8,-20.14,42.91
2026-07-21 03:20:23.896,0.15,-0.74,0.6,-4.7,-17.46,23.38
2026-07-21 03:20:23.897,0.12,-0.73,0.6,-4.7,-17.46,23.38
2026-07-21 03:20:23.956,0.09,-0.73,0.63,-7.87,-18.07,16.17
2026-07-21 03:20:23.956,0.09,-0.73,0.63,-7.87,-18.07,16.17
2026-07-21 03:20:23.956,0.11,-0.75,0.64,-19.78,-26.25,9.03
2026-07-21 03:20:24.016,0.11,-0.75,0.64,-19.78,-26.25,9.03
2026-07-21 03:20:24.016,0.12,-0.8,0.62,-31.01,-24.78,1.89
2026-07-21 03:20:24.017,0.12,-0.8,0.62,-31.01,-24.78,1.89
2026-07-21 03:20:24.076,0.1,-0.83,0.58,-34.24,-18.31,-0.55
2026-07-21 03:20:24.076,0.1,-0.83,0.58,-37.54,-30.33,-12.7
2026-07-21 03:20:24.136,0.12,-0.84,0.54,-37.54,-30.33,-12.7
2026-07-21 03:20:24.136,0.18,-0.85,0.5,-43.15,-56.7,-34.85
2026-07-21 03:20:24.137,0.18,-0.85,0.5,-43.15,-56.7,-34.85
2026-07-21 03:20:24.198,0.24,-0.86,0.49,-20.63,-55.6,-47.3
2026-07-21 03:20:24.198,0.24,-0.86,0.49,-20.63,-55.6,-47.3
2026-07-21 03:20:24.198,0.28,-0.81,0.54,38.21,-21.06,-44.43
2026-07-21 03:20:24.257,0.28,-0.81,0.54,38.21,-21.06,-44.43
2026-07-21 03:20:24.257,0.3,-0.76,0.59,73.0,-0.43,-32.78
2026-07-21 03:20:24.319,0.32,-0.74,0.62,61.52,-7.45,-25.09
2026-07-21 03:20:24.319,0.32,-0.74,0.62,61.52,-7.45,-25.09
2026-07-21 03:20:24.319,0.33,-0.72,0.64,38.82,-20.2,-26.31
2026-07-21 03:20:24.375,0.33,-0.72,0.64,38.82,-20.2,-26.31
2026-07-21 03:20:24.376,0.32,-0.71,0.66,21.85,-24.29,-24.05
2026-07-21 03:20:24.377,0.32,-0.71,0.66,21.85,-24.29,-24.05
2026-07-21 03:20:24.435,0.31,-0.7,0.67,12.94,-26.06,-14.95
2026-07-21 03:20:24.436,0.33,-0.69,0.66,7.02,-36.99,-8.12
2026-07-21 03:20:24.496,0.33,-0.69,0.66,7.02,-36.99,-8.12
2026-07-21 03:20:24.496,0.35,-0.68,0.63,-4.21,-47.79,-4.03
2026-07-21 03:20:24.496,0.35,-0.68,0.63,-4.21,-47.79,-4.03
2026-07-21 03:20:24.615,0.35,-0.69,0.57,-25.09,-54.5,2.38
2026-07-21 03:20:24.616,0.35,-0.69,0.57,-25.09,-54.5,2.38
2026-07-21 03:20:24.616,0.34,-0.77,0.5,-49.13,-66.89,14.16
2026-07-21 03:20:24.617,0.34,-0.77,0.5,-49.13,-66.89,14.16
2026-07-21 03:20:24.617,0.34,-0.85,0.43,-66.22,-82.4,27.59
2026-07-21 03:20:24.676,0.34,-0.85,0.43,-77.03,-94.18,35.77
2026-07-21 03:20:24.679,0.33,-0.91,0.36,-77.03,-94.18,35.77
2026-07-21 03:20:24.679,0.35,-0.93,0.3,-81.91,-105.53,38.94
2026-07-21 03:20:24.736,0.35,-0.93,0.3,-81.91,-105.53,38.94
2026-07-21 03:20:24.737,0.41,-0.94,0.22,-81.05,-122.25,38.7
2026-07-21 03:20:24.737,0.41,-0.94,0.22,-81.05,-122.25,38.7
2026-07-21 03:20:24.796,0.47,-0.98,0.14,-73.43,-129.88,34.36
2026-07-21 03:20:24.797,0.47,-0.98,0.14,-47.73,-107.18,26.86
2026-07-21 03:20:24.856,0.44,-1.0,0.09,-47.73,-107.18,26.86
2026-07-21 03:20:24.857,0.4,-0.98,0.05,-13.67,-75.5,17.76
2026-07-21 03:20:24.858,0.4,-0.98,0.05,-13.67,-75.5,17.76
2026-07-21 03:20:24.921,0.44,-0.98,0.01,-0.31,-65.73,10.25
2026-07-21 03:20:24.921,0.44,-0.98,0.01,-0.31,-65.73,10.25
2026-07-21 03:20:24.978,0.53,-1.01,-0.04,-6.77,-72.51,2.87
2026-07-21 03:20:24.978,0.53,-1.01,-0.04,-6.77,-72.51,2.87
2026-07-21 03:20:24.978,0.61,-1.05,-0.1,-11.78,-75.32,-11.54
2026-07-21 03:20:25.036,0.61,-1.05,-0.1,-11.23,-61.77,-39.18
2026-07-21 03:20:25.037,0.63,-1.1,-0.11,-11.23,-61.77,-39.18
2026-07-21 03:20:25.037,0.54,-1.12,-0.12,-16.91,-49.56,-74.16
2026-07-21 03:20:25.096,0.54,-1.12,-0.12,-16.91,-49.56,-74.16
2026-07-21 03:20:25.096,0.43,-1.11,-0.16,-47.91,-66.89,-91.86
2026-07-21 03:20:25.097,0.43,-1.11,-0.16,-47.91,-66.89,-91.86
2026-07-21 03:20:25.156,0.41,-1.07,-0.26,-105.35,-119.2,-90.15
2026-07-21 03:20:25.157,0.41,-1.07,-0.26,-105.35,-119.2,-90.15
2026-07-21 03:20:25.215,0.39,-0.9,-0.43,-146.55,-169.62,-88.2
2026-07-21 03:20:25.215,0.31,-0.65,-0.61,-147.46,-171.57,-68.97
2026-07-21 03:20:25.215,0.31,-0.65,-0.61,-147.46,-171.57,-68.97
2026-07-21 03:20:25.276,0.23,-0.41,-0.72,-143.37,-139.71,-25.82
2026-07-21 03:20:25.277,0.23,-0.41,-0.72,-143.37,-139.71,-25.82
2026-07-21 03:20:25.335,0.18,-0.24,-0.74,-162.41,-105.65,18.86
